EMPLOYEE_KEY,EMP_CODE,EMP_FIRSTNAME,EMP_LASTNAME,EMP_SALARY,SALARY_CURRENCY,EMP_GENDER_CODE,EMP_COUNTRYOFBIRTH_CODE,EMP_BIRTH_DATE,EMP_SENIORITY_DATE
EMP_779,779,aline,dupont,3000000.0,EUR,1,FRA,1980-01-01,2014-01-01
EMP_842,842,eric,dupont,300000.0,EUR,1,FRA,1968-10-01,2015-01-01
EMP_963,963,,,,,,,,
EMP_123162,123162,test,mokhles131,,,1,FRA,1990-01-01,2019-01-01
EMP_123342,123342,cont,otra,100000.0,EUR,1,ESP,1970-01-01,2021-01-10
EMP_123862,123862,ifc10,mokhles_2,,,1,FRA,1990-01-01,2019-01-01
EMP_812,812,chaf0401,veysm0401,,,1,FRA,1983-01-01,2015-03-01
EMP_862,862,eric,dupont,,,1,FRA,1968-10-01,2014-01-01
EMP_876,876,eric,dupojnt,,,1,FRA,1968-10-01,2014-01-01
EMP_2101,2101,calculo,nuevo,250000.0,EUR,2,ESP,1970-01-15,2015-07-02
EMP_885,885,alex,emy,20000000.0,EUR,1,FRA,1980-12-12,2015-02-01
EMP_832,832,tom,arnaud,300000.0,EUR,1,FRA,1980-11-11,2015-01-01
EMP_836,836,eric,dupontfg,320000.0,EUR,1,FRA,1968-10-01,2015-01-01
EMP_2641,2641,santan,para,100000.0,EUR,1,ESP,1970-01-01,2015-06-02
EMP_2861,2861,dmmo,test,200000.0,EUR,1,   ,1977-06-28,2015-01-01
EMP_3061,3061,manuel,manuel,350000.0,EUR,1,FRA,1979-11-22,2013-01-01
EMP_3163,3163,saboura,fitouri,600000.0,EUR,2,FRA,1980-11-22,2013-01-01
EMP_3221,3221,rad,rad,350000.0,EUR,1,FRA,1980-01-01,2014-01-01
EMP_3082,3082,saburo,fitouri,600000.0,EUR,1,FRA,1984-11-22,2013-01-01
EMP_3262,3262,sabra,fituri,600000.0,EUR,2,FRA,1980-12-12,2013-01-01
EMP_3301,3301,test,test,,,1,BEL,1980-09-07,2015-09-07
EMP_16721,16721,asdf,asdf,,,1,ESP,1980-01-01,2016-01-01
EMP_35481,35481,ahmed,abid,350000.0,EUR,1,   ,1992-12-04,2015-01-01
EMP_35581,35581,michel,michel,350000.0,EUR,1,FRA,1985-01-01,2017-01-01
EMP_2361,2361,rené,dupont,350000.0,EUR,1,   ,1949-05-15,2014-10-01
EMP_987,987,john,o'driscoll,,,1,IRL,1982-08-17,1995-12-01
EMP_1781,1781,roger,federer,350000.0,EUR,1,   ,1949-05-15,2014-10-01
EMP_1561,1561,faustine,aaa,,,2,FRA,1958-01-01,2013-07-01
EMP_37081,37081,esther,arana,2000000.0,EUR,2,   ,1990-07-28,2017-06-01
EMP_37921,37921,rené,dupont,350000.0,EUR,1,   ,1949-05-15,2014-10-01
EMP_35623,35623,test dmfappl3,duchemin,200000.0,EUR,1,BEL,1971-03-29,
EMP_35624,35624,test dmfappl4,duchemin,200000.0,EUR,1,BEL,1971-03-29,
EMP_35981,35981,calculo,nuevo,250000.0,EUR,2,ESP,1970-01-15,2017-01-17
EMP_36321,36321,cma,para,100000.0,EUR,1,ESP,1970-01-01,2017-01-01
EMP_36421,36421,dmfa036,pca mediccourstrim,350000.0,EUR,2,BEL,2000-02-04,
EMP_36441,36441,jean,complindemnity,250000.0,EUR,1,BEL,1955-12-30,2008-01-01
EMP_36444,36444,vincent,pcatermdeuxiemmois,420000.0,EUR,1,BEL,1983-05-28,2007-01-01
EMP_36445,36445,michel,pcatermtroisiemmois,401200.0,EUR,1,BEL,1981-03-30,2007-01-01
EMP_36445,36445,michel,pcatermtroisiemmois,400000.0,EUR,1,BEL,1981-03-30,2007-01-01
EMP_36448,36448,gilles,pcaencourmois3,300900.0,EUR,1,BEL,1984-01-27,2008-01-01
EMP_36881,36881,mathieu,vaziri,150000.0,EUR,1,FRA,1990-12-23,2017-01-10
EMP_2961,2961,contrata,para,100000.0,EUR,1,ESP,1970-01-01,2015-01-02
EMP_38081,38081,aaaaa,aaaa,350000.0,EUR,1,FRA,2000-01-01,2017-01-01
EMP_3376,3376,5ème travailleur,groupe cible premiers engagements,250000.0,EUR,1,BEL,1981-08-15,
EMP_3377,3377,catégorie 1 bas salaire,test réduction structurelle,189300.0,EUR,1,BEL,1982-01-15,
EMP_118642,118642,erich,habermann,400000.0,   ,1,DEU,1982-06-18,2020-01-01
EMP_969,969,,,,,,,,
EMP_1721,1721,isabelle,dupont,350000.0,EUR,2,   ,1970-01-01,2014-10-01
EMP_3311,3311,jean,rttsimult,200000.0,EUR,1,BEL,1969-06-29,
EMP_3321,3321,gilles,pcaencourmois3,300000.0,EUR,1,BEL,1982-04-27,2008-01-01
EMP_2301,2301,prenom1,nom1,211000.0,EUR,1,BEL,1980-01-01,
EMP_3309,3309,test dmfappl5,duchemin,200000.0,EUR,1,BEL,1969-06-29,
EMP_3001,3001,afi batch,para,,,1,ESP,1980-01-01,2015-06-01
EMP_3422,3422,kkkk,klhkljkl,200000.0,EUR,1,ESP,1980-01-01,2015-01-01
EMP_3344,3344,nabil,pca part. startend3moistrim,145000.0,EUR,1,BEL,1988-06-02,2007-01-01
EMP_3347,3347,nicolas,pca mediccourstrim,220000.0,EUR,1,BEL,1973-01-28,2008-01-01
EMP_3348,3348,manel,2 tl ident,250000.0,EUR,2,BEL,1978-09-03,2008-01-01
EMP_3349,3349,albert,changtpstravailmemmois,230000.0,EUR,1,BEL,1984-04-05,2007-01-01
EMP_3352,3352,dominique,avec voiture,340000.0,   ,2,BEL,1984-06-17,2007-01-01
EMP_2241,2241,calculo,nuevo,250000.0,EUR,2,ESP,1970-01-15,2015-01-01
EMP_5224,5224,rené,dupont,350000.0,EUR,1,   ,1949-05-15,2014-10-01
EMP_5001,5001,dos,dos,,,1,ESP,1980-01-01,2015-02-01
EMP_3484,3484,fff,fff,,,1,   ,1980-09-02,2015-09-09
EMP_1821,1821,raoul,raoul,350000.0,EUR,1,FRA,1983-05-03,2015-01-01
EMP_3261,3261,saburaa,fitoori,600000.0,EUR,2,FRA,1980-12-12,2013-01-01
EMP_4561,4561,raphael,acompte,350000.0,EUR,1,FRA,1983-12-12,2015-01-01
EMP_3701,3701,pêtêrrrddddsds,bosshardddkkkdddsdsdsds,650000.0,   ,1,CHE,1963-04-11,2014-01-01
EMP_4301,4301,penib20,penib20,700000.0,EUR,1,   ,1985-01-01,2015-01-01
EMP_4422,4422,françois,blick,300000.0,EUR,1,BEL,1970-08-05,
EMP_4541,4541,rad,rad,400000.0,EUR,1,FRA,1980-01-01,2015-01-01
EMP_4641,4641,rad,rad,600000.0,EUR,1,FRA,1980-01-01,2015-08-01
EMP_4681,4681,caclulo,nuevo,250000.0,EUR,2,ESP,1970-01-15,2015-01-01
EMP_4682,4682,michel,michel,350000.0,EUR,1,   ,1985-01-01,2015-02-01
EMP_6001,6001,fares,bhoury,300000.0,EUR,1,FRA,1980-10-10,2015-01-01
EMP_6041,6041,slim,base 10éme stc,500000.0,EUR,1,FRA,1980-01-01,2015-03-01
EMP_6282,6282,zyor,test,140000.0,EUR,2,   ,1977-08-27,2015-01-01
EMP_6061,6061,ahmed,cherif,1000000.0,   ,1,MAR,1983-04-04,2017-03-29
EMP_6241,6241,mathurin,severin,250000.0,EUR,1,FRA,1980-01-12,2015-01-01
EMP_6371,6371,joseph,pcaencourspremmois,400000.0,EUR,1,BEL,1975-04-12,2008-01-01
EMP_6380,6380,nicolas,pca mediccourstrim,220000.0,EUR,1,BEL,1973-04-28,2008-01-01
EMP_6387,6387,noel,etudiant,100000.0,EUR,1,BEL,1987-06-30,2012-01-01
EMP_6391,6391,inge,vandorpe,180000.0,EUR,2,BEL,1999-01-13,
EMP_6400,6400,test aa,employetempsplein,300000.0,EUR,1,BEL,1953-04-15,
EMP_6404,6404,dtest3,canadadry3,189700.0,EUR,1,BEL,1978-10-21,
EMP_4922,4922,fabrice,ernest,,,1,FRA,1981-12-12,2015-10-08
EMP_3581,3581,recibo,prueba,250000.0,EUR,2,ESP,1970-01-15,2015-05-01
EMP_3721,3721,alex,dupont,50000.0,EUR,1,   ,1977-05-23,2015-01-01
EMP_6442,6442,nabil,pca part. startend3moistrim,145000.0,EUR,1,BEL,1988-09-02,2007-01-01
EMP_6642,6642,sami,mohamed,,,1,   ,1991-12-10,2015-01-01
EMP_6661,6661,,,,,,,,
EMP_6523,6523,laurence,dupont,,,2,FRA,1980-10-01,2015-03-01
EMP_6626,6626,,,,,,,,
EMP_6862,6862,hanen,bb,250000.0,EUR,2,BEL,1991-11-30,
EMP_6981,6981,frederic,dupond,,,1,FRA,1980-02-01,2011-01-01
EMP_5283,5283,essai,emplye,490000.0,EUR,1,BEL,1978-08-05,
EMP_5321,5321,recaidas,para,100000.0,EUR,1,ESP,1980-01-01,2015-01-01
EMP_5405,5405,laurence,dupont,300000.0,EUR,2,FRA,1980-10-01,2016-01-01
EMP_5625,5625,khaled,be guiza,,,1,FRA,1980-10-01,2015-01-01
EMP_5521,5521,,,,,,,,
EMP_5201,5201,afi huelgas,para,100000.0,EUR,1,ESP,1970-01-01,2015-01-01
EMP_5363,5363,,,,,,,,
EMP_5403,5403,penibilite,test,130000.0,EUR,1,   ,1955-08-27,2015-01-01
EMP_5701,5701,alain,adrien,,,1,FRA,1988-02-02,2015-01-01
EMP_7382,7382,,,,,,,,
EMP_7521,7521,marcus,marco,350000.0,EUR,1,FRA,1981-05-12,2015-01-01
EMP_7701,7701,entrada,corrige,,,1,ESP,1990-01-01,2015-02-01
EMP_6505,6505,,,,,,,,
EMP_5941,5941,,,,,,,,
EMP_5982,5982,zyr0,empleado,,,1,ESP,1980-01-01,2015-01-01
EMP_6413,6413,groupe cible + structurelle,test contractuels subventionnés,250000.0,EUR,1,BEL,1982-07-15,
EMP_7383,7383,,,,,,,,
EMP_7681,7681,fecha,cambio,,,2,ESP,1980-01-01,2015-02-10
EMP_6461,6461,zyor,test,130000.0,EUR,1,   ,1966-05-27,2015-01-01
EMP_7121,7121,edouard,dupntooo,,,1,FRA,1980-12-12,2015-01-01
EMP_7941,7941,huelga,para,100000.0,EUR,1,ESP,1970-01-01,2015-01-01
EMP_7961,7961,iii,iii,100000.0,EUR,1,ESP,1980-01-01,2015-08-15
EMP_8021,8021,martine,dupont,250000.0,EUR,2,FRA,1980-12-10,2015-01-01
EMP_8301,8301,rupconv,test,130000.0,EUR,2,   ,1955-06-23,2015-01-01
EMP_15082,15082,embauche,test,300000.0,EUR,2,   ,1977-06-23,2016-07-01
EMP_6881,6881,empleado,vacaciones,,,1,ESP,1980-01-01,2015-01-01
EMP_6961,6961,alex,edwarde,400000.0,EUR,1,FRA,1988-11-09,2015-05-01
EMP_6962,6962,angeline,samir,250000.0,EUR,2,FRA,1977-11-12,2016-10-01
EMP_117702,117702,tramos,para,100000.0,EUR,1,ESP,1970-01-01,2019-01-01
EMP_949,949,ali,oueslati,,,1,TUN,1950-01-01,2013-01-01
EMP_1004,1004,thomas,le rouge,,,1,FRA,1980-11-12,2005-05-01
EMP_1006,1006,line,yeying,,,2,FRA,1971-07-22,2005-10-01
EMP_15361,15361,idriss,jouini,,,1,FRA,1990-01-01,2014-01-01
EMP_8161,8161,ii,ii,,,1,ESP,1980-01-01,2015-08-10
EMP_8201,8201,souna,bb,400000.0,EUR,1,BEL,2000-11-16,
EMP_15621,15621,sirine,chouayakh,,,2,FRA,1988-05-12,2009-01-01
EMP_8061,8061,tresti,test etabl,,,1,FRA,1980-02-23,2015-10-01
EMP_8581,8581,foufou,foufou,350025.0,EUR,1,FRA,1980-10-01,2015-01-01
EMP_10201,10201,nn,nn,,,1,ESP,1980-01-01,2015-01-01
EMP_8041,8041,ii,ii,,,1,ESP,1980-01-01,2015-08-10
EMP_8501,8501,,,,,,,,
EMP_8521,8521,,,,,,,,
EMP_10401,10401,wafa,test,,,1,FRA,1980-01-01,2012-01-01
EMP_11881,11881,faress,bhoury,,,1,FRA,1980-10-01,2015-01-01
EMP_9881,9881,anexo,para,100000.0,EUR,1,ESP,1970-01-01,2015-01-01
EMP_11764,11764,far,far,300000.0,EUR,1,FRA,1980-10-01,2015-01-01
EMP_11961,11961,bernadette,joye,420000.0,EUR,2,CHE,1992-05-09,2015-03-16
EMP_11981,11981,philipp,hoffmann,320000.0,EUR,1,DEU,1990-06-16,2015-03-09
EMP_12001,12001,calculo,nuevo,100000.0,EUR,2,ESP,1970-01-15,2016-02-08
EMP_12021,12021,mohamed2,sassi,350000.0,   ,1,   ,1986-12-23,2016-02-18
EMP_12041,12041,calculo,nuevo,220000.0,   ,2,ESP,1970-01-15,2016-01-01
EMP_10442,10442,marta,perez,,,2,ESP,1980-01-01,2015-01-01
EMP_10682,10682,rr,rr,,,1,ESP,1980-01-01,2015-02-01
EMP_11401,11401,calculo,nuevo,170000.0,EUR,2,ESP,1970-01-15,2016-01-01
EMP_12502,12502,calculo,nuevo,140000.0,TND,2,ESP,1970-01-15,2016-01-01
EMP_11681,11681,fares,fare,300000.0,EUR,1,FRA,1980-10-01,2015-01-01
EMP_11901,11901,jean,matile,800000.0,EUR,1,BEL,1979-07-30,2015-02-05
EMP_11921,11921,sarah,paccot,440000.0,EUR,2,CHE,1990-10-02,2015-03-05
EMP_13165,13165,manel,2 tl ident,300000.0,EUR,2,BEL,1979-03-03,2008-01-01
EMP_12243,12243,alain,tom,275000.0,TND,1,FRA,1980-12-12,
EMP_13173,13173,alain,pcacompenspar,200000.0,EUR,1,BEL,1980-02-20,2008-01-01
EMP_12262,12262,calculo,nuevo,210000.0,TND,2,ESP,1970-01-15,2016-01-15
EMP_13481,13481,ilyes,ben amara,350000.0,EUR,1,FRA,1992-01-06,2016-01-01
EMP_13943,13943,jean,laurence,400000.0,EUR,1,FRA,1977-01-04,2015-01-01
EMP_13142,13142,test dmfappl2,duchemin,200000.0,EUR,1,BEL,1969-12-29,
EMP_13381,13381,fares,bhoury,300000.0,EUR,1,FRA,1980-10-01,2012-12-04
EMP_13483,13483,bhouey,bhoury,300000.0,EUR,1,FRA,1980-10-01,2014-01-01
EMP_13541,13541,thomas,boucher,276626.0,EUR,1,FRA,1977-03-09,2016-01-01
EMP_13362,13362,patrick,patrick,350025.0,EUR,1,FRA,1985-01-01,2015-02-04
EMP_13642,13642,philipp,paccot,600000.0,EUR,1,LUX,1990-06-16,2015-10-01
EMP_13681,13681,fares,fares,2000000.0,EUR,1,FRA,1980-10-01,2012-12-04
EMP_13741,13741,fares,fares,300000.0,EUR,1,FRA,1980-10-01,2015-05-10
EMP_13150,13150,dmfa036,pca mediccourstrim,200000.0,EUR,2,BEL,1998-11-04,
EMP_13152,13152,vincent,pcatermdeuxiemmois,420000.0,EUR,1,BEL,1982-02-28,2007-01-01
EMP_13155,13155,patrick,pcaencourdeuxiemmois,200000.0,EUR,1,BEL,1974-11-04,2008-01-01
EMP_13156,13156,gilles,pcaencourmois3,300900.0,EUR,1,BEL,1982-10-27,2008-01-01
EMP_13161,13161,nabil,pca part. startend3moistrim,262500.0,EUR,1,BEL,1988-12-02,2007-01-01
EMP_13161,13161,nabil,pca part. startend3moistrim,175000.0,EUR,1,BEL,1988-12-02,2007-01-01
EMP_12242,12242,doeth,test,3000000.0,   ,2,   ,1966-05-23,2015-01-01
EMP_12301,12301,jean luc,tavarez,350000.0,   ,1,FRA,1985-01-01,2015-01-01
EMP_12361,12361,ere,para,200000.0,   ,2,ESP,1970-01-15,2016-01-01
EMP_127782,127782,jad,test,,,1,FRA,1990-02-02,2020-09-08
EMP_127622,127622,maternidad,para,100000.0,EUR,1,ESP,1970-01-01,2021-01-01
EMP_128482,128482,calculo,nuevo,150000.0,EUR,2,ESP,1970-01-15,2020-04-01
EMP_39941,39941,ddd,abid,,,2,FRA,1987-12-12,2017-01-01
EMP_123122,123122,test_me,mokh11,,,1,FRA,1990-01-01,2019-01-01
EMP_34302,34302,fr w237722,test,,,1,FRA,1980-02-02,2010-01-01
EMP_36662,36662,rad,rad,800000.0,EUR,1,FRA,1980-01-01,2012-01-01
EMP_40387,40387,frédéric,abs_rtt1,200000.0,EUR,1,BEL,1971-06-29,
EMP_40390,40390,dmfa036,pca mediccourstrim,200000.0,EUR,2,BEL,2000-05-04,
EMP_47502,47502,slim,abattement cimpa,500000.0,EUR,1,FRA,1980-01-01,2016-01-01
EMP_491,491,pierre,dupont,200000.0,EUR,1,   ,1970-01-01,2016-02-25
EMP_493,493,pierre,dupont,200000.0,EUR,1,   ,1970-01-01,2006-01-01
EMP_496,496,pierre,dupont,200000.0,EUR,1,   ,1970-01-01,2006-01-01
EMP_19021,19021,asdf,asdf,,,1,ESP,1980-01-01,2015-04-01
EMP_1128,1128,cindy,elliott,,,2,GBR,1982-01-24,2001-06-01
EMP_1129,1129,frances,sevilla,,,2,   ,1982-07-12,2007-09-01
EMP_49801,49801,em001,em001,0.0,   ,1,   ,1993-02-17,2018-01-29
EMP_40641,40641,mary,bonsoir,350000.0,EUR,2,FRA,1970-01-01,2015-01-01
EMP_34661,34661,test acquisition,exane,500000.0,EUR,1,FRA,1980-01-01,2016-01-01
EMP_16021,16021,ki,il,350000.0,EUR,1,   ,1990-01-01,2013-01-01
EMP_35521,35521,tbcr,tbcr,300000.0,EUR,2,BEL,1990-01-01,
EMP_35741,35741,afi,uno,100000.0,EUR,1,ESP,1970-01-01,2017-04-01
EMP_21041,21041,dos años,confirmacion,,,1,ESP,1980-01-01,2015-04-01
EMP_17401,17401,lucas,lucas,300000.0,EUR,1,   ,1976-10-09,2015-01-01
EMP_17601,17601,fabien,dupont,,,1,FRA,1980-10-01,2015-01-01
EMP_17682,17682,david,david,300000.0,EUR,1,   ,1986-09-01,2015-01-01
EMP_17841,17841,hamza,beyni,300000.0,EUR,1,FRA,1991-12-25,2015-01-01
EMP_121602,121602,ahmed,ahmed,150000.0,   ,1,CHE,1980-01-15,2020-01-01
EMP_33001,33001,mickel,blanc,450000.0,EUR,1,LUX,1970-05-21,2015-01-01
EMP_40392,40392,robert,complindemnity,200000.0,EUR,1,BEL,1954-12-02,2008-01-01
EMP_125802,125802,ifc cscp,test,,,2,FRA,1988-08-08,2021-01-11
EMP_16341,16341,henry,henry,200000.0,EUR,1,FRA,1966-10-09,2016-03-07
EMP_47761,47761,calculo,nuevo,250000.0,EUR,2,ESP,1970-01-15,2017-02-15
EMP_40399,40399,patrick,pcaencourdeuxiemmois,200000.0,EUR,1,BEL,1976-05-04,2008-01-01
EMP_40401,40401,mouhamed,pcanonmemmois,150000.0,EUR,1,BEL,1982-05-02,2008-01-01
EMP_33562,33562,nuevo,nacional,250000.0,EUR,1,ESP,1970-01-15,2017-01-01
EMP_48001,48001,aymen,test 6,,,1,FRA,1985-03-01,2016-01-01
EMP_36468,36468,unon,prueba,250000.0,EUR,2,ESP,1970-01-15,2017-01-25
EMP_20363,20363,hhhd,discapacidad,200000.0,EUR,1,FRA,1980-01-01,2016-06-01
EMP_13861,13861,teopsl,formativo,250000.0,EUR,2,ESP,1970-01-15,2016-01-01
EMP_13881,13881,jjjjj,jjjjj,,,1,ESP,1980-01-01,2015-01-01
EMP_32221,32221,samuel,samuel,350000.0,EUR,1,FRA,1985-01-01,2016-01-01
EMP_35601,35601,cr,cr,300000.0,EUR,2,BEL,1988-01-01,
EMP_37401,37401,calculo,nuevo,250000.0,EUR,2,ESP,1970-01-15,2017-01-03
EMP_37581,37581,youssef,chaabani,350000.0,EUR,1,FRA,2000-03-10,2017-01-01
EMP_118462,118462,definitivo,finiquito,150000.0,EUR,2,ESP,1970-01-15,2020-11-02
EMP_124582,124582,ifc28,mokhles28,,,1,FRA,1990-01-01,2019-01-01
EMP_124583,124583,ifc,ifc,,,1,FRA,1968-10-15,2021-02-01
EMP_14201,14201,dhikra,daboussi,350000.0,EUR,2,FRA,1986-09-18,2016-03-12
EMP_14041,14041,fares,fares,3000000.0,EUR,1,FRA,1980-10-01,2014-01-01
EMP_14281,14281,hans,schmidt,1200000.0,EUR,1,LUX,1980-08-16,2015-01-01
EMP_14606,14606,elyes,ahmed elyes,,,1,FRA,1967-01-01,2019-11-01
EMP_19404,19404,jerome,jerome,,,1,FRA,1985-01-01,2015-01-01
EMP_20141,20141,gauthier,charron,350000.0,EUR,1,FRA,1993-12-12,2015-01-01
EMP_20721,20721,samuel,samuel,350000.0,EUR,1,FRA,1985-01-01,2016-01-01
EMP_48341,48341,calculo,nuevo,250000.0,EUR,2,ESP,1970-01-15,2017-01-12
EMP_48401,48401,gabriel,andries,400000.0,EUR,1,BEL,1956-10-18,
EMP_31201,31201,,,,,,,,
EMP_30361,30361,julien,julien,350000.0,EUR,1,FRA,1985-01-01,2017-01-01
EMP_30381,30381,rania,absence,,,2,FRA,1965-01-01,2004-11-01
EMP_22101,22101,olivier,olivier,350000.0,EUR,1,FRA,1985-01-01,2013-01-01
EMP_1138,1138,sarra,mediouni,,,2,MAR,1989-09-18,2002-10-01
EMP_1142,1142,jessica,laurent,,,2,FRA,1977-07-13,2007-06-01
EMP_467,467,xavi,hernandez,1500000.0,EUR,1,   ,1953-01-01,2008-01-01
EMP_39023,39023,isabelle,dupont,350000.0,EUR,2,   ,1970-01-01,2014-10-01
EMP_39143,39143,fabien,tom,,,1,FRA,1962-12-31,2013-03-01
EMP_34801,34801,prenom,nomcr,200000.0,EUR,1,BEL,1980-01-01,
EMP_48861,48861,enciel,arc,3000000.0,EUR,1,BEL,1990-01-01,
EMP_37021,37021,test pas,test,300000.0,EUR,2,   ,1988-09-23,2015-01-01
EMP_468,468,mohamed ali,clay,100000.0,EUR,1,   ,1971-06-12,2008-10-06
EMP_20101,20101,attestation,test,130000.0,EUR,1,   ,1978-10-01,2016-01-01
EMP_20181,20181,calculo,nuevo,250000.0,EUR,2,ESP,1970-01-15,2016-01-01
EMP_21461,21461,alfred,alfred,350000.0,EUR,1,FRA,1985-01-01,2015-01-01
EMP_13921,13921,miguel,portal,250000.0,EUR,2,ESP,1970-01-15,2016-01-01
EMP_17042,17042,thomas,thomas,300000.0,EUR,1,   ,1977-10-09,2015-01-01
EMP_32242,32242,test,test,,,1,BEL,1988-01-09,
EMP_48562,48562,test,w250571,280000.0,EUR,1,BEL,1980-01-01,
EMP_37741,37741,perez,miguel,,,1,ESP,1970-01-01,2017-02-15
EMP_37801,37801,540,contrato,250000.0,EUR,2,ESP,1970-01-15,2017-09-01
EMP_118562,118562,antje,arnold,800000.0,EUR,2,DEU,1950-11-25,2019-10-01
EMP_38843,38843,anis2,test,200000.0,   ,1,FRA,1977-07-23,2016-01-01
EMP_17641,17641,asdf,asdf,,,1,ESP,1980-01-01,2015-02-01
EMP_17761,17761,démonstration,cprtt,500000.0,EUR,1,FRA,1980-01-01,2013-01-01
EMP_17321,17321,thomas,thomas,200000.0,EUR,1,   ,1977-01-09,2015-01-01
